"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D1CM"
4.32430887125,8.467772721875,49.2679502010645,2.3653412199761e-10,3.66187044704475e-08,14.7966971388816,"CP1A1_HUMAN",18,-50.584293928437,6.90995643848858e-11,9.53644781227625e-09,-4.32430887125,"Up in D1CM",8.02061336353566,"CYP1A1","CP1A1_HUMAN",4.32430887125
-2.46288013475,10.855524540125,-48.1840770742183,2.77388211163142e-10,4.03121591705883e-08,14.633108345883,"CO6A1_HUMAN",24,50.4840969891562,7.01458968277527e-11,9.53644781227625e-09,2.46288013475,"Up in D8BM",8.02061336353566,"COL6A1","CO6A1_HUMAN",-2.46288013475
-1.41260147,18.0538678175,-44.0409516856068,5.2803335506076e-10,6.19964788601884e-08,13.9652754314485,"BHMT1_HUMAN",37,50.2227467498555,7.29605001090909e-11,9.76165167332583e-09,1.41260147,"Up in D8BM",8.01047669340675,"BHMT","BHMT1_HUMAN",-1.41260147
1.7981741425,11.25023162375,46.4280445269487,3.61865464622541e-10,4.76588125203657e-08,14.3585956835548,"ZN622_HUMAN",26,-49.7583563805935,7.8282776292243e-11,1.02350475825495e-08,-1.7981741425,"Up in D1CM",7.98991013396966,"ZNF622","ZN622_HUMAN",1.7981741425
-1.38626623,11.3465540425,-45.4035042372685,4.24554244764518e-10,5.30802910732498e-08,14.1927366274245,"ATTY_HUMAN",25,49.6310826458229,7.9817163979016e-11,1.02350475825495e-08,1.38626623,"Up in D8BM",7.98991013396966,"TAT","ATTY_HUMAN",-1.38626623
-2.15746331,12.305896165,-68.0487789863803,2.33662948545604e-11,9.29096955163496e-09,17.0773424489842,"GSTM4_HUMAN",9,49.6045298489006,8.01415518386836e-11,1.02350475825495e-08,2.15746331,"Up in D8BM",7.98991013396966,"GSTM4","GSTM4_HUMAN",-2.15746331
1.5942714225,11.19615638375,45.6355104119874,4.09341193074845e-10,5.22778320670889e-08,14.2306757866637,"GBP4_HUMAN",26,-49.3943545810946,8.27624800549042e-11,1.04120140952655e-08,-1.5942714225,"Up in D1CM",7.98246525263619,"GBP4","GBP4_HUMAN",1.5942714225
-1.122030495,11.9136928325,-41.0057164149042,8.80219949698855e-10,8.52460956481811e-08,13.4280548776458,"ITB5_HUMAN",36,48.7120041260831,9.19640281067899e-11,1.13994822487078e-08,1.122030495,"Up in D8BM",7.94311487336839,"ITGB5","ITB5_HUMAN",-1.122030495
-1.5322928425,14.61029863125,-41.7737884515645,7.70774021880401e-10,7.82753521738542e-08,13.5681967264573,"APOB_HUMAN",250,48.4222768100504,9.62168973161102e-11,1.1593783706194e-08,1.5322928425,"Up in D8BM",7.93577480609416,"APOB","APOB_HUMAN",-1.5322928425
-2.01042843,11.713356495,-50.2191941196365,2.06254301964334e-10,3.54799492093341e-08,14.9367666436531,"IYD1_HUMAN",14,48.4179243804578,9.62824604856546e-11,1.1593783706194e-08,2.01042843,"Up in D8BM",7.93577480609416,"IYD","IYD1_HUMAN",-2.01042843
-1.78243446500001,13.75417328,-48.2437008772301,2.74942309465599e-10,4.03121591705883e-08,14.6422206403687,"CRYM_HUMAN",16,47.8010083523137,1.06108042607518e-10,1.24464326304514e-08,1.78243446500001,"Up in D8BM",7.90495510727632,"CRYM","CRYM_HUMAN",-1.78243446500001
-1.44997692,11.945340395,-43.8737520151044,5.42607216590374e-10,6.26525510772639e-08,13.9368026853343,"KNG1_HUMAN",26,47.7886192343173,1.06316662639993e-10,1.24464326304514e-08,1.44997692,"Up in D8BM",7.90495510727632,"KNG1","KNG1_HUMAN",-1.44997692
-1.2386310075,12.90718042875,-41.4557344348878,8.14098079231577e-10,8.07297965863878e-08,13.5105232601955,"CADH2_HUMAN",34,47.6495651404687,1.08690299056683e-10,1.25063251059199e-08,1.2386310075,"Up in D8BM",7.90287028588469,"CDH2","CADH2_HUMAN",-1.2386310075
1.2912545175,11.64292192375,44.0230747499069,5.29570112460976e-10,6.19964788601884e-08,13.9622371027369,"PACN3_HUMAN",23,-47.5469046773072,1.10481184262489e-10,1.25063251059199e-08,-1.2912545175,"Up in D1CM",7.90287028588469,"PACSIN3","PACN3_HUMAN",1.2912545175
-0.9251718525,15.19947433375,-37.5248766044422,1.66002602787781e-09,1.24931780258768e-07,12.7535348421165,"PH4H_HUMAN",41,47.5017505374859,1.11279438004982e-10,1.25063251059199e-08,0.9251718525,"Up in D8BM",7.90287028588469,"PAH","PH4H_HUMAN",-0.9251718525
-0.71781206,15.7370860575,-32.2487963370556,4.90014526517742e-09,2.28195162652931e-07,11.5865429530225,"MAP4_HUMAN",65,47.3428116043408,1.14141575381803e-10,1.26592018275424e-08,0.71781206,"Up in D8BM",7.89759367605814,"MAP4","MAP4_HUMAN",-0.71781206
-1.580577372,9.8106513015,-46.4748518602199,3.59263933085725e-10,4.76588125203657e-08,14.3660705500662,"GBP7_HUMAN",18,47.1998439583945,1.16787408904152e-10,1.27844294760143e-08,1.580577372,"Up in D8BM",7.8933186482358,"GBP7","GBP7_HUMAN",-1.580577372
-1.4415884,12.5208578125,-42.2127716865951,7.15221556958857e-10,7.53575312950776e-08,13.6469813742332,"ENAH_HUMAN",32,46.9011293619514,1.22542570324888e-10,1.32424528880574e-08,1.4415884,"Up in D8BM",7.87803156345509,"ENAH","ENAH_HUMAN",-1.4415884
-1.3391144275,15.29098713375,-40.3084394189769,9.95121827706642e-10,9.11726291928183e-08,13.2982260995377,"ITIH2_HUMAN",51,46.6520159189986,1.27588168651313e-10,1.36131730830622e-08,1.3391144275,"Up in D8BM",7.86604063366165,"ITIH2","ITIH2_HUMAN",-1.3391144275
-1.17852306175,10.534400939125,-41.6972118336237,7.8095990032163e-10,7.83656071406074e-08,13.5543567358856,"DSC2_HUMAN",26,46.4628396392281,1.31576971972388e-10,1.38632787094408e-08,1.17852306175,"Up in D8BM",7.85813404555227,"DSC2","DSC2_HUMAN",-1.17852306175
0.956011530000001,14.8155637975,38.845913015086,1.29621154388473e-09,1.07098755097838e-07,13.0174861346756,"AK1D1_HUMAN",30,-46.2389680849502,1.36480755838484e-10,1.42024233452171e-08,-0.956011530000001,"Up in D1CM",7.84763754606331,"AKR1D1","AK1D1_HUMAN",0.956011530000001
-1.0194172875,13.52463078625,-39.0330485464085,1.25241984924593e-09,1.05566469092939e-07,13.054064594152,"P4HA2_HUMAN",31,45.9035395580112,1.44220000231343e-10,1.47605187393318e-08,1.0194172875,"Up in D8BM",7.83089837952716,"P4HA2","P4HA2_HUMAN",-1.0194172875
-3.04086565925,9.318729042875,-48.5917186052397,2.61146565994891e-10,3.93072215137667e-08,14.6951426637154,"MIME_HUMAN",10,45.8564300647456,1.45346192355504e-10,1.47605187393318e-08,3.04086565925,"Up in D8BM",7.83089837952716,"OGN","MIME_HUMAN",-3.04086565925
-1.54844141,12.06983757,-42.3135795429473,7.03117300169622e-10,7.50199458624019e-08,13.6649413382305,"CAP2_HUMAN",27,45.775810328494,1.47296631177878e-10,1.47805155261706e-08,1.54844141,"Up in D8BM",7.83031041802058,"CAP2","CAP2_HUMAN",-1.54844141
1.2753567675,11.46263909375,40.942550129615,8.89981779219354e-10,8.52460956481811e-08,13.4163970840402,"NOP2_HUMAN",29,-45.6894916866052,1.49417834281491e-10,1.48169755901022e-08,-1.2753567675,"Up in D1CM",7.82924043458701,"NOP2","NOP2_HUMAN",1.2753567675
0.747622014999997,11.4884316925,34.9894902692062,2.73680590076116e-09,1.68383481295736e-07,12.2168125570978,"PLSL_HUMAN",33,-45.6144266465037,1.51290611032023e-10,1.48282390742897e-08,-0.747622014999997,"Up in D1CM",7.82891042049736,"LCP1","PLSL_HUMAN",0.747622014999997
0.996801617500003,11.23711335625,38.3412385566841,1.42326887076754e-09,1.13176729355656e-07,12.9178483882083,"HMDH_HUMAN",32,-45.4317537332101,1.55960020158448e-10,1.51101955162708e-08,-0.996801617500003,"Up in D1CM",7.82072991613164,"HMGCR","HMDH_HUMAN",0.996801617500003
-0.940113547499998,16.97970700125,-34.622046708268,2.95119318337826e-09,1.77410468360471e-07,12.1354922880556,"AHNK_HUMAN",309,45.3549605636117,1.57971477352159e-10,1.51311543477426e-08,0.940113547499998,"Up in D8BM",7.82012793861717,"AHNAK","AHNK_HUMAN",-0.940113547499998
-1.56670522750001,14.18316507375,-40.5578544569142,9.52164368350048e-10,8.81955325365116e-08,13.3449557233368,"VILI_HUMAN",48,45.2836682149947,1.59865151567745e-10,1.51404872198261e-08,1.56670522750001,"Up in D8BM",7.81986014904484,"VIL1","VILI_HUMAN",-1.56670522750001
-1.1239912525,12.65246784625,-39.6672809050223,1.11605640876033e-09,9.79920778066748e-08,13.1765867643468,"AS3MT_HUMAN",27,44.5162492079834,1.81961297985383e-10,1.68566749615015e-08,1.1239912525,"Up in D8BM",7.77322808737938,"AS3MT","AS3MT_HUMAN",-1.1239912525
-1.6842732425,12.18699431375,-50.6869074059005,1.93002150372937e-10,3.45071304374187e-08,15.0044739424797,"GELS_HUMAN",12,44.4661520167798,1.83519753591808e-10,1.68566749615015e-08,1.6842732425,"Up in D8BM",7.77322808737938,"GSN","GELS_HUMAN",-1.6842732425
